IDCode,kmeans_label,agglomerative_label,birch_label,gmm_label,gmm_bic_best_label,gmm_aic_best_label,gmm_aicc_best_label,best_overall_label
zoma564,1,0,0,0,1,8,1,0
puju088,1,0,0,0,0,4,0,0
jufy997,1,0,0,0,4,6,4,0
wyja070,1,0,0,0,4,6,4,0
dasy955,1,0,0,0,3,3,3,0
wyki565,1,0,0,0,1,8,1,0
garu074,1,0,0,0,1,3,1,0
qyxy586,1,0,0,0,0,0,0,0
kegi864,1,0,0,0,3,2,3,0
gyge774,1,0,0,0,3,9,3,0
vyda893,0,1,1,1,2,5,2,1
vuvy608,1,0,0,0,0,0,0,0
vizo712,1,0,0,0,1,3,1,0
givi158,0,0,0,0,0,0,0,0
caro445,1,0,0,0,3,9,3,0
nene689,1,0,0,0,0,0,0,0
ryfy568,0,0,0,0,3,9,3,0
johy783,0,0,0,0,0,4,0,0
sulo956,1,0,0,0,0,0,0,0
gony054,1,0,0,0,0,0,0,0
puca767,1,0,0,0,0,0,0,0
baky109,0,1,0,1,1,1,1,0
mabo887,1,0,0,0,0,0,0,0
cona428,1,0,0,0,4,6,4,0
lilo882,1,0,0,0,0,0,0,0
gycy436,1,0,0,0,1,1,1,0
jyri631,1,0,0,0,4,6,4,0
safu128,1,0,0,0,3,9,3,0
fore104,1,0,0,0,3,9,3,0
zabe850,1,0,0,0,3,9,3,0
woci389,1,0,0,0,0,0,0,0
kygi723,1,0,0,0,0,0,0,0
qejy219,1,0,0,0,3,9,3,0
jago498,1,0,0,0,0,0,0,0
buby593,1,0,0,0,3,2,3,0
dapu822,1,0,0,0,4,7,4,0
sugu976,0,1,0,0,1,8,1,0
wuxa997,0,1,0,0,1,1,1,0
tiqy778,1,0,0,0,3,9,3,0
xyfe491,0,1,0,0,1,8,1,0
ryhy064,1,0,0,0,3,2,3,0
kufi222,1,0,0,0,1,2,1,0
xaja332,1,0,0,0,3,9,3,0
fofa613,0,0,0,0,1,8,1,0
viba035,0,1,0,0,1,1,1,0
qewy924,1,0,0,0,1,3,1,0
pytu496,1,0,0,0,3,9,3,0
tosa657,1,0,0,0,3,9,3,0
keri121,1,0,0,0,3,2,3,0
bofi991,0,1,0,0,1,1,1,0
bihi184,0,1,1,1,2,5,2,1
piro376,1,0,0,0,0,0,0,0
zejy480,0,1,0,0,0,0,0,0
zapy404,0,1,0,0,0,1,0,0
lusi512,1,0,0,0,0,4,0,0
sedo490,0,1,1,1,2,8,2,1
davu999,1,0,0,0,3,9,3,0
buby236,0,1,1,1,2,4,2,1
weru214,1,0,0,0,3,3,3,0
tyly265,0,1,1,1,2,4,2,1
nise834,0,1,1,1,2,8,2,1
voxy002,0,1,1,1,2,5,2,1
fypi681,1,0,0,0,0,0,0,0
xopa120,0,1,1,1,2,5,2,1
wari483,1,0,0,0,1,1,1,0
kegy317,1,0,0,0,3,9,3,0
geka905,1,0,0,0,0,0,0,0
lore323,0,1,1,1,2,8,2,1
vane668,1,0,0,0,4,6,4,0
zuxy510,0,1,1,1,2,5,2,1
masu336,1,0,0,0,1,3,1,0
xise560,1,1,0,0,1,1,1,0
zomi496,0,0,0,0,4,4,4,0
lilu285,0,1,1,1,2,4,2,1
heqi003,0,1,1,1,2,5,2,1
jise415,1,0,0,0,3,2,3,0
vabe169,1,0,0,0,3,9,3,0
kofa904,0,0,0,0,2,4,2,0
peqo117,0,1,1,1,2,5,2,1
gaho243,1,0,0,0,0,0,0,0
mude815,0,1,1,1,2,8,2,1
raxe285,1,1,0,0,1,8,1,0
qami382,1,0,0,0,0,0,0,0
bebo956,0,1,1,0,2,4,2,1
cofi309,1,0,0,0,4,6,4,0
buqe642,1,0,0,0,3,9,3,0
vuzo690,1,0,0,0,4,6,4,0
posy958,1,0,0,0,1,1,1,0
gaga585,1,0,0,0,1,3,1,0
vopa930,1,0,0,0,3,9,3,0
xutu412,1,0,0,0,3,9,3,0
doxi119,0,0,0,0,2,0,2,0
feqy379,1,0,0,0,3,9,3,0
xypo299,0,1,1,1,2,4,2,1
gahu141,1,0,0,0,3,9,3,0
kyse146,1,0,0,0,3,9,3,0
sedi312,1,0,0,0,3,9,3,0
nasi298,1,0,0,0,3,9,3,0
naky151,0,0,0,0,4,7,4,0
koqa816,1,0,0,0,3,9,3,0
sila763,1,0,0,0,3,9,3,0
pody147,1,0,0,0,3,9,3,0
voza333,1,0,0,0,3,3,3,0
tiro932,1,0,0,0,3,9,3,0
wujy562,1,0,0,0,4,6,4,0
hamu369,1,0,0,0,4,6,4,0
nape687,0,1,1,1,2,4,2,1
gevi782,1,0,0,0,0,4,0,0
qoha890,1,0,0,0,3,3,3,0
fili803,1,0,0,0,3,2,3,0
puce552,0,1,0,0,1,8,1,0
buny935,1,0,0,0,3,3,3,0
pimi228,1,0,0,0,0,0,0,0
kyjo289,1,0,0,0,0,1,0,0
bepo134,1,0,0,0,3,3,3,0
kise589,1,0,0,0,0,0,0,0
remi231,0,0,0,0,0,0,0,0
qyjo579,1,0,0,0,4,0,4,0
cyhu257,0,1,0,0,1,8,1,0
diha837,1,0,0,0,3,9,3,0
ware232,1,0,0,0,0,0,0,0
hyge979,1,0,0,0,0,0,0,0
biqe951,1,0,0,0,3,3,3,0
jide437,1,0,0,0,3,9,3,0
zipu412,1,0,0,0,3,3,3,0
vate767,1,0,0,0,3,9,3,0
mefy253,1,0,0,0,0,0,0,0
qafe413,0,1,0,0,1,3,1,0
lota555,0,1,1,1,2,8,2,1
mecu237,1,0,0,0,0,0,0,0
cidy099,1,0,0,0,3,3,3,0
xoba600,1,0,0,0,4,6,4,0
joce161,0,1,1,1,2,8,2,1
kywu572,1,0,0,0,3,2,3,0
jefi901,1,0,0,0,3,9,3,0
mari840,1,0,0,0,4,6,4,0
nypy058,0,1,0,0,1,8,1,0
rino885,1,0,0,0,3,3,3,0
maju644,0,1,0,0,1,8,1,0
qosy291,1,0,0,0,1,3,1,0
posy537,1,0,0,0,3,9,3,0
xoki390,0,1,0,0,0,0,0,0
fagi164,0,1,0,0,1,1,1,0
zozy719,1,0,0,0,1,9,1,0
bopa107,1,0,0,0,1,2,1,0
jyly989,1,0,0,0,1,3,1,0
togu404,1,0,0,0,1,9,1,0
gosa272,1,1,0,0,0,8,0,0
fovo989,1,0,0,0,3,9,3,0
sira606,1,0,0,0,1,3,1,0
loby351,1,0,0,0,1,3,1,0
fike806,1,0,0,0,1,3,1,0
fafe171,0,1,1,0,2,4,2,1
zyvo780,1,0,0,0,3,9,3,0
xune455,1,0,0,0,0,0,0,0
vamu972,1,0,0,0,0,0,0,0
suzo040,1,0,0,0,4,7,4,0
wype120,1,1,0,0,2,8,2,0
jicu869,1,1,0,0,1,1,1,0
wero373,1,0,0,0,3,9,3,0
juqo313,1,0,0,0,3,2,3,0
vexo008,0,0,0,0,0,0,0,0
punu787,0,0,0,0,2,4,2,0
tomo782,0,1,1,1,2,8,2,1
cupe992,0,1,1,1,2,8,2,1
kyjo535,1,0,0,0,1,3,1,0
raja244,1,0,0,0,1,3,1,0
pino324,1,0,0,0,4,7,4,0
qutu379,0,1,0,0,2,8,2,0
nolu547,0,0,0,0,4,7,4,0
cape571,0,1,1,1,1,8,1,1
coma628,1,0,0,0,3,9,3,0
mida684,1,0,0,0,3,2,3,0
gaqe214,1,0,0,0,3,2,3,0
pufe463,1,0,0,0,3,2,3,0
fifa517,1,0,0,0,3,9,3,0
wuzy577,1,0,0,0,3,2,3,0
sire515,1,0,0,0,3,2,3,0
xyhi085,1,0,0,0,1,3,1,0
nexy906,1,0,0,0,3,2,3,0
pyzi618,1,0,0,0,4,6,4,0
muku118,1,0,0,0,1,3,1,0
kewi488,1,0,0,0,1,3,1,0
xafu780,0,1,1,1,2,8,2,1
wowy820,0,1,1,1,2,4,2,1
ryzo168,1,0,0,0,3,9,3,0
xavy753,0,1,1,1,2,4,2,1
deje129,0,1,1,1,2,4,2,1
