IDCode,narrative_text
sipy389,Accuracy low (42.11%); speed slow (20.45s); timing stable (var=145.79); correct streak short (10); incorrect streak long (27); consecutive correct rare (0.38).
bube109,Accuracy medium (77.19%); speed moderate (18.46s); timing moderately variable (var=182.60); correct streak short (10); incorrect streak moderate (4); consecutive correct occasional (0.64).
boqe999,Accuracy medium (84.21%); speed fast (13.78s); timing stable (var=65.66); correct streak long (36); incorrect streak short (2); consecutive correct frequent (0.75).
guzo911,Accuracy medium (71.93%); speed slow (24.17s); timing highly variable (var=454.28); correct streak moderate (12); incorrect streak long (10); consecutive correct occasional (0.64).
guxe800,Accuracy medium (70.18%); speed slow (21.29s); timing highly variable (var=497.41); correct streak moderate (16); incorrect streak moderate (4); consecutive correct occasional (0.54).
dove442,Accuracy medium (66.67%); speed moderate (18.95s); timing highly variable (var=567.33); correct streak short (11); incorrect streak long (5); consecutive correct occasional (0.52).
zivi062,Accuracy medium (64.91%); speed fast (11.82s); timing stable (var=55.58); correct streak moderate (17); incorrect streak long (5); consecutive correct rare (0.50).
lury747,Accuracy low (52.63%); speed moderate (16.38s); timing moderately variable (var=202.47); correct streak short (9); incorrect streak moderate (4); consecutive correct rare (0.30).
tuve726,Accuracy medium (68.42%); speed slow (20.04s); timing highly variable (var=337.00); correct streak moderate (12); incorrect streak long (5); consecutive correct occasional (0.54).
vihu826,Accuracy medium (78.95%); speed slow (32.40s); timing highly variable (var=1505.21); correct streak moderate (15); incorrect streak short (3); consecutive correct frequent (0.66).
hata313,Accuracy medium (63.16%); speed moderate (17.30s); timing moderately variable (var=327.90); correct streak moderate (14); incorrect streak long (10); consecutive correct rare (0.50).
hoki309,Accuracy low (54.39%); speed moderate (18.29s); timing highly variable (var=356.28); correct streak short (6); incorrect streak long (5); consecutive correct rare (0.38).
kyzy131,Accuracy low (52.63%); speed moderate (18.32s); timing moderately variable (var=228.06); correct streak short (8); incorrect streak long (7); consecutive correct rare (0.34).
syti148,Accuracy medium (77.19%); speed moderate (17.82s); timing highly variable (var=357.58); correct streak moderate (14); incorrect streak moderate (4); consecutive correct frequent (0.66).
syco853,Accuracy high (87.72%); speed slow (28.78s); timing highly variable (var=936.98); correct streak long (23); incorrect streak short (1); consecutive correct frequent (0.79).
sefy975,Accuracy low (54.39%); speed moderate (17.37s); timing stable (var=62.42); correct streak moderate (12); incorrect streak long (9); consecutive correct rare (0.39).
jese656,Accuracy medium (80.70%); speed moderate (18.83s); timing moderately variable (var=280.20); correct streak moderate (16); incorrect streak short (3); consecutive correct frequent (0.70).
guge611,Accuracy low (56.14%); speed slow (19.76s); timing moderately variable (var=173.90); correct streak short (11); incorrect streak long (9); consecutive correct rare (0.43).
mesi806,Accuracy medium (63.16%); speed slow (30.72s); timing highly variable (var=993.54); correct streak short (9); incorrect streak long (5); consecutive correct rare (0.43).
sesi698,Accuracy medium (80.70%); speed moderate (15.21s); timing moderately variable (var=185.60); correct streak long (21); incorrect streak short (2); consecutive correct frequent (0.68).
gopa505,Accuracy medium (68.42%); speed slow (32.11s); timing highly variable (var=632.69); correct streak long (20); incorrect streak long (5); consecutive correct occasional (0.52).
duwi894,Accuracy medium (78.95%); speed moderate (17.02s); timing highly variable (var=404.10); correct streak moderate (15); incorrect streak short (3); consecutive correct occasional (0.64).
hasa034,Accuracy medium (66.67%); speed slow (29.27s); timing highly variable (var=523.09); correct streak short (7); incorrect streak short (3); consecutive correct rare (0.50).
pile112,Accuracy high (87.72%); speed moderate (16.50s); timing highly variable (var=352.65); correct streak long (22); incorrect streak short (2); consecutive correct frequent (0.79).
sivi804,Accuracy medium (63.16%); speed slow (20.11s); timing moderately variable (var=157.17); correct streak short (8); incorrect streak long (5); consecutive correct rare (0.50).
maho931,Accuracy low (59.65%); speed fast (11.72s); timing highly variable (var=426.33); correct streak moderate (12); incorrect streak long (12); consecutive correct rare (0.43).
waho571,Accuracy medium (64.91%); speed slow (21.40s); timing stable (var=140.24); correct streak moderate (14); incorrect streak long (7); consecutive correct rare (0.48).
mowy859,Accuracy low (54.39%); speed slow (29.19s); timing highly variable (var=786.66); correct streak short (7); incorrect streak long (9); consecutive correct rare (0.41).
rihi168,Accuracy low (42.11%); speed slow (22.01s); timing highly variable (var=859.64); correct streak short (4); incorrect streak long (14); consecutive correct rare (0.20).
siry766,Accuracy medium (71.93%); speed slow (33.17s); timing highly variable (var=1264.12); correct streak moderate (13); incorrect streak moderate (4); consecutive correct occasional (0.57).
qefe646,Accuracy low (45.61%); speed moderate (19.32s); timing highly variable (var=348.61); correct streak short (5); incorrect streak long (14); consecutive correct rare (0.29).
zojo883,Accuracy high (87.72%); speed moderate (15.14s); timing moderately variable (var=163.22); correct streak moderate (16); incorrect streak short (2); consecutive correct frequent (0.79).
dero258,Accuracy medium (80.70%); speed fast (9.84s); timing stable (var=66.83); correct streak long (23); incorrect streak short (3); consecutive correct frequent (0.71).
mika525,Accuracy medium (61.40%); speed moderate (15.39s); timing stable (var=94.55); correct streak short (11); incorrect streak moderate (4); consecutive correct rare (0.46).
xohi599,Accuracy medium (78.95%); speed fast (12.00s); timing stable (var=93.05); correct streak moderate (14); incorrect streak short (3); consecutive correct frequent (0.66).
tebe135,Accuracy medium (64.91%); speed slow (19.88s); timing highly variable (var=726.00); correct streak short (9); incorrect streak long (5); consecutive correct rare (0.48).
naso669,Accuracy low (50.88%); speed fast (13.52s); timing stable (var=74.41); correct streak short (6); incorrect streak long (13); consecutive correct rare (0.34).
qecu035,Accuracy medium (82.46%); speed slow (24.61s); timing highly variable (var=1389.76); correct streak moderate (17); incorrect streak short (3); consecutive correct frequent (0.75).
zywy107,Accuracy medium (66.67%); speed slow (20.81s); timing highly variable (var=414.53); correct streak short (11); incorrect streak moderate (4); consecutive correct occasional (0.52).
cave700,Accuracy low (52.63%); speed moderate (15.13s); timing moderately variable (var=230.01); correct streak short (9); incorrect streak long (9); consecutive correct rare (0.41).
nupy082,Accuracy medium (82.46%); speed fast (13.92s); timing highly variable (var=355.49); correct streak long (26); incorrect streak moderate (4); consecutive correct frequent (0.73).
hoge626,Accuracy high (89.47%); speed fast (13.26s); timing moderately variable (var=178.72); correct streak long (25); incorrect streak short (3); consecutive correct frequent (0.84).
nivo041,Accuracy medium (80.70%); speed slow (24.15s); timing highly variable (var=736.91); correct streak moderate (12); incorrect streak short (2); consecutive correct frequent (0.68).
karo919,Accuracy low (43.86%); speed moderate (16.25s); timing moderately variable (var=255.81); correct streak short (6); incorrect streak long (9); consecutive correct rare (0.30).
vuhe805,Accuracy medium (68.42%); speed slow (22.71s); timing moderately variable (var=198.55); correct streak moderate (12); incorrect streak short (3); consecutive correct occasional (0.52).
kebi083,Accuracy medium (75.44%); speed fast (10.98s); timing stable (var=68.70); correct streak moderate (17); incorrect streak long (5); consecutive correct occasional (0.59).
faly535,Accuracy low (59.65%); speed slow (21.58s); timing moderately variable (var=277.12); correct streak short (11); incorrect streak long (5); consecutive correct rare (0.41).
gelo627,Accuracy low (54.39%); speed fast (14.31s); timing moderately variable (var=190.88); correct streak short (8); incorrect streak long (10); consecutive correct rare (0.34).
vili771,Accuracy medium (80.70%); speed moderate (16.68s); timing moderately variable (var=264.87); correct streak long (23); incorrect streak short (3); consecutive correct frequent (0.70).
katu927,Accuracy medium (75.44%); speed moderate (17.32s); timing moderately variable (var=188.16); correct streak moderate (13); incorrect streak short (3); consecutive correct occasional (0.61).
xiza150,Accuracy low (49.12%); speed fast (12.46s); timing stable (var=71.66); correct streak short (11); incorrect streak long (8); consecutive correct rare (0.39).
bevi590,Accuracy medium (80.70%); speed fast (8.30s); timing stable (var=28.16); correct streak moderate (15); incorrect streak short (3); consecutive correct frequent (0.70).
huve181,Accuracy low (57.89%); speed moderate (18.86s); timing moderately variable (var=296.10); correct streak short (5); incorrect streak long (5); consecutive correct rare (0.36).
fite050,Accuracy medium (82.46%); speed fast (12.75s); timing stable (var=94.87); correct streak long (18); incorrect streak long (5); consecutive correct frequent (0.73).
nysu060,Accuracy medium (78.95%); speed fast (12.78s); timing stable (var=83.09); correct streak long (18); incorrect streak moderate (4); consecutive correct frequent (0.68).
kaho190,Accuracy medium (68.42%); speed slow (24.55s); timing highly variable (var=403.32); correct streak short (11); incorrect streak moderate (4); consecutive correct occasional (0.54).
lany944,Accuracy high (91.23%); speed fast (10.48s); timing stable (var=62.83); correct streak long (44); incorrect streak short (3); consecutive correct frequent (0.88).
maqu534,Accuracy medium (71.93%); speed slow (19.70s); timing highly variable (var=337.42); correct streak moderate (16); incorrect streak long (7); consecutive correct occasional (0.62).
wuga870,Accuracy medium (70.18%); speed slow (22.30s); timing highly variable (var=419.95); correct streak short (9); incorrect streak moderate (4); consecutive correct occasional (0.52).
wyva352,Accuracy medium (77.19%); speed slow (28.06s); timing highly variable (var=588.14); correct streak moderate (15); incorrect streak short (2); consecutive correct occasional (0.62).
hime464,Accuracy medium (71.93%); speed moderate (15.28s); timing stable (var=154.72); correct streak moderate (12); incorrect streak short (3); consecutive correct occasional (0.59).
jexu775,Accuracy medium (73.68%); speed moderate (18.13s); timing moderately variable (var=251.84); correct streak moderate (16); incorrect streak long (5); consecutive correct occasional (0.61).
tuga736,Accuracy medium (61.40%); speed fast (11.69s); timing moderately variable (var=167.80); correct streak short (8); incorrect streak moderate (4); consecutive correct rare (0.41).
hyfe498,Accuracy low (54.39%); speed fast (11.39s); timing stable (var=84.02); correct streak short (8); incorrect streak long (12); consecutive correct rare (0.41).
bomo360,Accuracy medium (84.21%); speed moderate (15.24s); timing moderately variable (var=176.27); correct streak moderate (15); incorrect streak short (2); consecutive correct frequent (0.75).
lomo204,Accuracy high (96.49%); speed moderate (16.52s); timing moderately variable (var=297.99); correct streak long (51); incorrect streak short (2); consecutive correct frequent (0.95).
mipe544,Accuracy medium (75.44%); speed fast (14.05s); timing stable (var=56.50); correct streak moderate (15); incorrect streak short (3); consecutive correct occasional (0.61).
hufy497,Accuracy medium (84.21%); speed fast (10.34s); timing stable (var=145.72); correct streak long (20); incorrect streak short (2); consecutive correct frequent (0.75).
rapo919,Accuracy medium (75.44%); speed fast (11.95s); timing moderately variable (var=285.41); correct streak moderate (12); incorrect streak long (6); consecutive correct occasional (0.64).
gata076,Accuracy low (35.09%); speed slow (22.70s); timing highly variable (var=395.81); correct streak short (6); incorrect streak long (17); consecutive correct rare (0.23).
muvo194,Accuracy low (54.39%); speed slow (28.01s); timing highly variable (var=658.17); correct streak short (10); incorrect streak long (15); consecutive correct rare (0.38).
cywo537,Accuracy medium (71.93%); speed moderate (18.52s); timing moderately variable (var=318.05); correct streak moderate (14); incorrect streak long (5); consecutive correct occasional (0.55).
xamy327,Accuracy medium (61.40%); speed slow (31.39s); timing highly variable (var=1667.30); correct streak moderate (14); incorrect streak long (13); consecutive correct occasional (0.52).
cogu074,Accuracy medium (80.70%); speed slow (19.43s); timing moderately variable (var=324.01); correct streak long (19); incorrect streak short (3); consecutive correct frequent (0.68).
rapo615,Accuracy low (47.37%); speed slow (30.65s); timing highly variable (var=600.75); correct streak short (10); incorrect streak long (19); consecutive correct rare (0.39).
zady580,Accuracy low (59.65%); speed slow (27.18s); timing highly variable (var=706.06); correct streak short (11); incorrect streak long (14); consecutive correct rare (0.48).
nujo284,Accuracy medium (73.68%); speed slow (21.19s); timing highly variable (var=491.21); correct streak short (11); incorrect streak short (3); consecutive correct occasional (0.55).
syzu625,Accuracy medium (66.67%); speed slow (23.75s); timing highly variable (var=1100.69); correct streak long (20); incorrect streak long (5); consecutive correct occasional (0.52).
myte214,Accuracy medium (71.93%); speed slow (30.38s); timing highly variable (var=2182.39); correct streak moderate (12); incorrect streak moderate (4); consecutive correct occasional (0.59).
tyzo440,Accuracy low (57.89%); speed slow (24.26s); timing highly variable (var=449.15); correct streak short (11); incorrect streak long (8); consecutive correct rare (0.41).
vyzo298,Accuracy medium (78.95%); speed fast (14.33s); timing stable (var=104.68); correct streak long (26); incorrect streak short (2); consecutive correct occasional (0.64).
hiwu589,Accuracy medium (66.67%); speed slow (21.69s); timing highly variable (var=1769.19); correct streak short (8); incorrect streak long (7); consecutive correct rare (0.50).
sazy810,Accuracy medium (80.70%); speed moderate (15.72s); timing moderately variable (var=192.67); correct streak long (18); incorrect streak short (3); consecutive correct frequent (0.68).
turi097,Accuracy medium (66.67%); speed fast (13.99s); timing moderately variable (var=232.45); correct streak moderate (17); incorrect streak long (10); consecutive correct occasional (0.55).
foji729,Accuracy medium (73.68%); speed fast (13.37s); timing stable (var=107.37); correct streak moderate (14); incorrect streak short (2); consecutive correct occasional (0.55).
