K,covariance_type,bic,aic,aicc,silhouette,calinski_harabasz,davies_bouldin
30,tied,-22427.284069944326,-23734.51348876953,-22926.46154071758,0.07825873047113419,29.761157554777974,1.5242528171350649
30,spherical,-22435.237511972075,-23716.750942230225,-22959.78891691377,0.06867555528879166,35.83100986841261,1.512016604011966
31,full,-17747.03743295752,-23721.71877670288,inf,0.06102152541279793,29.728216368136753,1.8412106762136378
31,diag,-21454.557487334725,-23708.992485046387,31731.40751495165,0.05624011531472206,29.821052462175555,1.7078089091832556
31,tied,-22388.372188839352,-23734.175590515137,-22843.094509434053,0.08616048097610474,31.45938213720755,1.6231706700214847
31,spherical,-22427.627420400764,-23752.000831604004,-22908.036073894753,0.06329140067100525,35.405235189896416,1.445182348536082
32,full,-17533.16074380228,-23700.712001800537,inf,0.0569414421916008,28.46207506696802,1.99226505425225
32,diag,-21390.375859541306,-23717.67282485962,inf,0.05913486331701279,27.861184847790273,1.7536133986626965
32,tied,-22386.167243616947,-23770.54462814331,-22787.896740819364,0.08582364767789841,30.52677898123405,1.6086652131962422
32,spherical,-22329.756655306504,-23696.990047454834,-22756.160554367274,0.08988147974014282,34.06191713170014,1.4556027689535846
33,full,-17426.24198998029,-23786.663162231445,inf,0.06294899433851242,28.640790181861995,1.86157424936748
33,diag,-21329.111284970542,-23729.270217895508,inf,0.04699975624680519,27.220492907290925,1.7740461674680619
33,tied,-22352.95631694923,-23775.907684326172,-22692.025331384993,0.08045672625303268,29.83125676579864,1.5581269290708064
33,spherical,-22328.023688521575,-23738.11706161499,-22689.131554368614,0.08895298838615417,33.497782018387035,1.465949113072601
34,full,-17315.18937843125,-23868.480464935303,inf,0.0495450533926487,27.313721198049105,1.976479145566248
34,diag,-21266.398426250613,-23739.419326782227,inf,0.04801390320062637,27.435326305202544,1.7967976348833157
34,tied,-22304.48617015822,-23766.011520385742,-22569.888443462667,0.07328662276268005,29.393086691632366,1.5428902178806585
34,spherical,-22293.260829768868,-23746.214183807373,-22576.061899543412,0.10541330277919769,34.25699185237202,1.4875229979933025
35,full,-16932.60704657581,-23678.768047332764,inf,0.05951211228966713,27.178350876900527,1.8105866977834417
35,diag,-21198.13005605607,-23744.012924194336,inf,0.03544193133711815,25.00725137401656,1.8893175955471821
35,tied,-22240.037782400414,-23740.137115478516,-22419.169373543034,0.0813896507024765,29.48073155944923,1.5300374328028197
35,spherical,-22243.89017148613,-23739.703506469727,-22433.286394170256,0.07737203687429428,33.12761814349293,1.4865590991709305
36,full,-16809.07501913321,-23748.105934143066,inf,0.06242875009775162,28.057060726458996,1.8243023963842202
36,diag,-21118.633898843706,-23737.378734588623,inf,0.056183651089668274,27.101344428592913,1.7572159799471931
36,tied,-22210.462929798858,-23749.13624572754,-22288.797262676697,0.09035419672727585,30.678631928701392,1.5297142160578552
36,spherical,-22193.96027476956,-23732.633590698242,-22272.2946076474,0.08300658315420151,33.31458794606923,1.4533733832846485
37,full,-16561.97178273676,-23693.87261199951,inf,0.0634014755487442,28.51019379686381,1.7092399282905415
37,diag,-21065.5755849541,-23757.182388305664,inf,0.07323648780584335,29.865277977151045,1.5421877307759848
37,tied,-22164.358791766394,-23741.606090545654,-22125.034661974234,0.08434025198221207,29.11177771915331,1.4773947816276307
37,spherical,-22163.378389069832,-23744.911685943604,-22109.821865584323,0.07863418012857437,32.013140284849165,1.4892147787558279
38,full,-16298.06476292356,-23622.83550643921,inf,0.07933146506547928,28.525347112255936,1.693111375136584
38,diag,-20999.855539344517,-23764.324310302734,inf,0.03437752649188042,24.031044914109206,1.828622999128083
38,tied,-22107.401740831097,-23723.223022460938,-21930.694720574156,0.07520991563796997,28.308651015961416,1.4817711873010815
38,spherical,-22171.418779676256,-23795.812057495117,-21961.16237596645,0.10897833853960037,32.97248130478588,1.388284316891846
39,full,-16185.268884315192,-23702.90954208374,inf,0.05805506184697151,26.867523698146893,1.7985068513073479
39,diag,-20881.683845022777,-23719.014583587646,inf,0.05980692431330681,27.065390496904488,1.6844766338411568
39,tied,-22095.765536453415,-23750.160800933838,-21758.400800933832,0.08646560460329056,28.590355655140815,1.4609763713519128
39,spherical,-22109.812476099334,-23777.06573486328,-21712.984102210226,0.08189170807600021,31.06608791146547,1.4422124905420552
40,full,-15987.757601196325,-23698.268173217773,inf,0.07645254582166672,28.2402431313377,1.6414043294046095
40,diag,-20837.00591367101,-23747.19861984253,inf,0.0613834373652935,26.672521633478453,1.805832030771807
40,tied,-22047.295389662406,-23740.26463699341,-21521.541232738084,0.08823781460523605,28.909437211649,1.5414869440717307
40,spherical,-22076.06362110029,-23786.176860809326,-21456.249853510057,0.08973851799964905,31.58149343846704,1.4210904797421942
41,full,-15821.72550127448,-23725.105987548828,inf,0.07472450286149979,27.971037320627747,1.7030371586750732
41,diag,-20735.15251005972,-23718.20718383789,inf,0.038756825029850006,24.23745620946968,1.7361766150857656
41,tied,-22017.140813702696,-23748.684043884277,-21269.593134793366,0.08229372650384903,27.94674598200401,1.5089421981212332
41,spherical,-22107.40971010149,-23860.382930755615,-21219.595529180806,0.09921196848154068,31.427212493105458,1.3615791902757783
42,full,-15634.237491623633,-23730.48789215088,inf,0.07084716856479645,27.044272507535016,1.6542779794124833
42,diag,-20729.961318820257,-23785.877960205078,inf,0.04434696212410927,24.28936967298646,1.6259019174138352
42,tied,-21970.831826427067,-23740.94903945923,-20960.753917508013,0.08945342153310776,28.005109737281664,1.524413059673083
42,spherical,-21969.52983932486,-23765.363040924072,-20757.15791271896,0.10284730792045593,30.66204752302778,1.3728738632312831
43,full,-15411.384308632942,-23700.504623413086,inf,0.0680689662694931,25.7640629813436,1.7161667329456012
43,diag,-20565.098336504132,-23693.876945495605,inf,0.05144306272268295,23.519594884246196,1.6881825953676093
43,tied,-21941.226246439037,-23749.917442321777,-20618.233231795464,0.10699882358312607,29.808384575843814,1.4805202606371426
43,spherical,-21993.413270397592,-23832.106452941895,-20384.06906976433,0.09511177986860275,29.810915402148577,1.327474464271281
44,full,-15197.448213197182,-23679.438442230225,inf,0.06351146847009659,25.61688899449689,1.7211688525582334
44,diag,-20526.0680987864,-23727.70867538452,inf,0.046847935765981674,24.411479003681006,1.6161312010225095
44,tied,-21900.265872902422,-23747.531051635742,-20201.016765921468,0.08923393487930298,27.511354220830373,1.524543733794522
44,spherical,-21981.302640953967,-23862.85580444336,-19880.175392072215,0.07075995206832886,28.52119772240113,1.3426856711989492
45,full,-15073.91004027729,-23748.770183563232,inf,0.0736827626824379,26.532269768018928,1.6931295037628795
45,diag,-20462.19784184259,-23736.700386047363,inf,0.044971201568841934,22.85955665480026,1.6867111495896685
45,tied,-21879.687999060632,-23765.52716064453,-19723.027160644553,0.07252906262874603,24.999860553069674,1.5095878461287469
45,spherical,-21921.388392125577,-23845.80153656006,-19200.97395035313,0.09107682853937149,29.832918811676468,1.3899746288473156
46,full,-14765.4933769094,-23633.223434448242,inf,0.07815544307231903,26.847060182453458,1.6224045519557446
46,diag,-20373.096303618266,-23720.460815429688,inf,0.05239195376634598,25.384897697978023,1.621031444151474
46,tied,-21812.30002466342,-23736.7131690979,-19091.885582890973,0.08777342736721039,27.276281653367803,1.5295338146688706
46,spherical,-21840.2845375843,-23807.557662963867,-18323.401818808037,0.07200855016708374,28.452776371824594,1.3688842716433718
47,full,-14643.047050455574,-23703.647022247314,inf,0.0760829895734787,25.904570426941472,1.6402442906075392
47,diag,-20300.397044294084,-23720.62352371216,inf,0.051863767206668854,23.295417258892105,1.7112014350437739
47,tied,-21769.819669742526,-23732.806797027588,-18342.49910471987,0.07803614437580109,25.994367498449844,1.4769699502504694
47,spherical,-21811.45001592876,-23821.583122253418,-17241.58312225341,0.09982620179653168,29.017071588042754,1.3596490055857486
48,full,-14436.624825259072,-23690.09471130371,inf,0.08459779620170593,26.88204111758837,1.631337905390976
48,diag,-20326.660454342462,-23819.748901367188,inf,0.06303570419549942,23.79219167051296,1.5194328160036097
48,tied,-21742.262582186137,-23743.823692321777,-17408.867170582627,0.08916445076465607,25.950026191073192,1.4366933934671993
48,spherical,-21823.861889384305,-23876.854976654053,-15809.486555601361,0.08477283269166946,27.81454546265265,1.3454624728038862
49,full,-14186.954827845771,-23633.29462814331,inf,0.0886080339550972,26.971329706609037,1.5849716973844652
49,diag,-20138.655653026093,-23704.60606765747,inf,0.04957065358757973,23.242364097119463,1.7279423256041393
49,tied,-21712.77581475914,-23752.91090774536,-16184.510907745344,0.09548238664865494,26.721448366418326,1.4535742040154425
49,spherical,-21753.020981925547,-23848.87405014038,-13652.703837374484,0.08409042656421661,28.236537479069355,1.3446863573103893
50,full,-14073.040472369728,-23712.250186920166,inf,0.076686792075634,25.17471095398822,1.6290096091729631
50,diag,-20136.574073297863,-23775.38645553589,inf,0.04417263716459274,23.31611990983723,1.6002740481465048
50,tied,-21656.617675872185,-23735.326751708984,-14491.797339944278,0.08648082613945007,25.926463462929892,1.4740275326332328
