K,covariance_type,bic,aic,aicc,silhouette,calinski_harabasz,davies_bouldin
62,full,-11181.444938529767,-23135.09362411499,inf,0.10041296482086182,25.773846476301742,1.4459443883491574
62,diag,-18253.723099652332,-22766.879093170166,inf,0.08292873203754425,24.48348459665366,1.4451655155171774
62,tied,-20289.37906684589,-22830.97593688965,inf,0.11613892018795013,25.7859110651514,1.2478207473861895
62,spherical,-20349.00550576244,-23002.038326263428,inf,0.10842374712228775,27.358414219514273,1.2851994387363317
63,full,-10980.084538131847,-23126.60313796997,inf,0.09272490441799164,24.85184626475045,1.3874341490858617
63,diag,-18228.075662990504,-22814.09362411499,inf,0.08268356323242188,23.469455105596214,1.3982193940516663
63,tied,-20262.63318229243,-22842.804035186768,inf,0.09722790867090225,23.996949912096063,1.3143643335457906
63,spherical,-20327.89584906662,-23023.788650512695,inf,0.1040806844830513,27.026367684970197,1.2463214606500386
64,full,-10843.061139534468,-23182.44965362549,inf,0.1067952960729599,25.23492039906153,1.4301402120551931
64,diag,-18134.149925089667,-22793.0298538208,inf,0.08318766206502914,23.390601186316612,1.3193007704100268
