IDCode,n_items,accuracy,avg_rt,var_rt,rt_cv,longest_correct_streak,longest_incorrect_streak,consecutive_correct_rate
pala257,57.0,0.7719298245614035,19.935631578947365,290.49779652463974,0.8549513889678871,31.0,4.0,0.6428571428571429
tuby409,57.0,0.7543859649122807,14.54301754385965,193.05106474284148,0.9553919388672818,22.0,5.0,0.6785714285714286
hoxo855,57.0,0.6491228070175439,24.593298245614037,489.6134274445803,0.89972519722099,10.0,4.0,0.5
qixy634,57.0,0.8947368421052632,28.745491228070176,1277.8536701865287,1.2435716927002385,40.0,3.0,0.8392857142857143
niri091,57.0,0.7017543859649122,19.027245614035085,448.1787099496084,1.1126272358476352,16.0,3.0,0.5357142857142857
lazi600,57.0,0.8245614035087719,17.74208771929825,144.8586444424655,0.6783713319410505,18.0,3.0,0.7142857142857143
qedo478,57.0,0.6140350877192983,18.589964912280706,199.83752673029446,0.7604312448035442,14.0,5.0,0.44642857142857145
ruhu758,57.0,0.8421052631578947,20.508842105263156,220.97172504605265,0.7248150651796436,23.0,2.0,0.7142857142857143
cima563,57.0,0.8771929824561403,26.350298245614038,375.23267934190164,0.7351310931520356,29.0,2.0,0.8035714285714286
lyzy104,57.0,0.7017543859649122,22.327333333333332,654.7994109485122,1.1460862016362348,8.0,3.0,0.48214285714285715
xafy802,57.0,0.7543859649122807,21.63177192982456,266.5710443137218,0.7547695854203303,15.0,3.0,0.625
bacy598,57.0,0.24561403508771928,7.366538011695907,108.91455217104918,1.4167053073235953,6.0,13.0,0.125
kexi927,57.0,0.45614035087719296,12.65457894736842,61.645340453105405,0.6204437701012263,11.0,10.0,0.3392857142857143
cumo221,57.0,0.7894736842105263,19.28019298245614,231.723086572807,0.7895384337126938,18.0,2.0,0.6071428571428571
kami789,57.0,0.6140350877192983,18.37280701754386,329.4574348305451,0.9879253806552399,8.0,3.0,0.375
zoko875,57.0,0.8421052631578947,15.896807017543859,144.4588078394737,0.7560701829481267,16.0,5.0,0.7678571428571429
sina926,57.0,0.7719298245614035,11.837929824561403,98.4778316473684,0.8382884405796888,24.0,4.0,0.6785714285714286
fise899,57.0,0.6666666666666666,23.876219298245612,328.7563694078948,0.7594016365107527,8.0,5.0,0.5178571428571429
cija437,57.0,0.8245614035087719,12.235052631578947,61.913298262954264,0.6431112819066641,14.0,3.0,0.7321428571428571
manu258,57.0,0.7543859649122807,28.565771929824567,1375.0929974461621,1.2981356317862323,20.0,3.0,0.6607142857142857
zuwa573,57.0,0.7894736842105263,15.26459649122807,253.7822783958803,1.0436270268317034,15.0,4.0,0.6607142857142857
joxi410,57.0,0.5614035087719298,24.13915204678363,288.05490185345303,0.7030976150227384,10.0,8.0,0.375
muta539,57.0,0.9824561403508771,13.252438596491228,107.27395034080511,0.7815402261247074,47.0,1.0,0.9642857142857143
reqy562,57.0,0.8947368421052632,20.80757894736842,215.3027160130013,0.7051852229021813,26.0,2.0,0.8035714285714286
doxe492,57.0,0.8421052631578947,23.59121052631579,267.7766641459586,0.6936432066298656,15.0,2.0,0.7321428571428571
gylu244,57.0,0.5263157894736842,16.965929824561403,100.52229043040415,0.5909537888899314,14.0,11.0,0.42857142857142855
maxy370,57.0,0.8245614035087719,16.765912280701755,363.914269228775,1.1378168285719814,19.0,4.0,0.75
ryko512,57.0,0.8771929824561403,20.423684210526318,334.13329307349625,0.8950056741258099,33.0,3.0,0.8214285714285714
kula014,57.0,0.8421052631578947,19.466684210526314,210.85050612409148,0.745925304284076,16.0,3.0,0.7142857142857143
jeqy595,57.0,0.5964912280701754,18.086245614035086,197.1875150582393,0.7764102902185012,15.0,8.0,0.4642857142857143
guva627,57.0,0.8421052631578947,17.12580701754386,148.57069343739036,0.7117304215920282,21.0,3.0,0.75
lohy238,57.0,0.8771929824561403,15.925192982456139,409.29612233709264,1.2703813553385255,25.0,2.0,0.8214285714285714
cobi870,57.0,0.6491228070175439,17.71443859649123,253.97072426342416,0.8996310481809959,24.0,13.0,0.5892857142857143
giki066,57.0,0.9298245614035088,8.955473684210526,137.62631954036652,1.3099725218367362,31.0,2.0,0.8928571428571429
hywy001,57.0,0.7368421052631579,14.030596491228069,109.12654713784461,0.7445417781184542,16.0,2.0,0.5714285714285714
feji918,57.0,0.7894736842105263,22.46157894736842,483.7239713766917,0.9791709558370664,34.0,4.0,0.6964285714285714
luli756,57.0,0.7543859649122807,17.65415789473684,147.63071722105266,0.6882422953836642,22.0,4.0,0.6607142857142857
wumu083,57.0,0.8771929824561403,21.60140350877193,432.02388519885653,0.9622145275434043,25.0,2.0,0.7857142857142857
cyga680,57.0,0.8421052631578947,12.351333333333333,110.76162059166666,0.8520808565672638,25.0,4.0,0.75
buvy316,57.0,0.7543859649122807,20.618701754385967,368.2469472645207,0.9306968862742842,10.0,4.0,0.5714285714285714
rejy122,57.0,0.8070175438596491,22.358649122807016,413.09896986516287,0.9090368639782458,26.0,4.0,0.7142857142857143
dusi300,57.0,0.8245614035087719,20.815122807017545,421.73944898822066,0.9866045991173117,13.0,3.0,0.7321428571428571
howe436,57.0,0.8245614035087719,22.336877192982456,390.5160588260182,0.8847019659557387,13.0,2.0,0.6964285714285714
