IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
tomo782,512,5,5,5
cupe992,513,5,5,5
kyjo535,514,4,4,4
raja244,515,8,8,8
pino324,516,6,6,6
qutu379,517,10,10,10
nolu547,518,0,0,0
cape571,519,5,5,5
coma628,520,6,6,6
mida684,521,3,3,3
gaqe214,522,9,9,9
pufe463,523,3,3,3
fifa517,524,3,3,3
wuzy577,525,3,3,3
sire515,526,3,3,3
xyhi085,527,3,3,3
nexy906,528,3,3,3
pyzi618,529,3,3,3
muku118,530,4,4,4
kewi488,531,4,4,4
xafu780,532,10,10,10
wowy820,533,2,2,2
ryzo168,534,8,8,8
xavy753,535,2,2,2
deje129,536,2,2,2
